,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Nov 19, 2019",1.78,1.89,1.78,1.83,"26,829,617"
,"Nov 20, 2019",1.85,1.87,1.77,1.84,"20,771,437"
,"Nov 21, 2019",1.87,2.04,1.82,1.98,"41,548,257"
,"Nov 22, 2019",2.04,2.05,1.88,1.94,"25,210,980"
,"Nov 25, 2019",1.99,2.12,1.96,2.05,"36,941,204"
,"Nov 26, 2019",2.12,2.29,2.12,2.28,"55,683,461"
,"Nov 27, 2019",2.32,2.50,2.28,2.46,"77,494,322"
,"Nov 29, 2019",2.36,2.36,2.20,2.27,"32,640,284"
,"Dec 2, 2019",2.35,2.44,2.30,2.44,"33,145,682"
,"Dec 3, 2019",2.31,2.48,2.25,2.40,"38,015,425"
,"Dec 4, 2019",2.42,2.58,2.41,2.42,"46,922,168"
,"Dec 5, 2019",2.53,2.57,2.25,2.27,"53,335,378"
,"Dec 6, 2019",2.32,2.34,2.20,2.26,"32,061,322"
,"Dec 9, 2019",2.21,2.25,2.11,2.22,"31,824,409"
,"Dec 10, 2019",2.20,2.28,2.14,2.27,"25,261,366"
,"Dec 11, 2019",2.26,2.32,2.23,2.26,"20,364,065"
,"Dec 12, 2019",2.30,2.33,2.26,2.27,"22,515,294"
,"Dec 13, 2019",2.31,2.43,2.29,2.39,"37,269,741"
,"Dec 16, 2019",2.44,2.55,2.39,2.48,"36,959,896"
,"Dec 17, 2019",2.54,2.63,2.50,2.59,"45,705,508"
,"Dec 18, 2019",2.58,2.67,2.54,2.63,"31,842,120"
,"Dec 19, 2019",2.69,2.73,2.61,2.62,"36,387,929"
,"Dec 20, 2019",2.65,2.72,2.63,2.69,"51,014,364"
,"Dec 23, 2019",2.74,2.76,2.65,2.67,"28,627,274"
,"Dec 24, 2019",2.63,2.63,2.45,2.53,"32,029,806"
,"Dec 26, 2019",2.45,2.52,2.35,2.51,"44,197,159"
,"Dec 27, 2019",2.54,2.55,2.41,2.42,"37,703,779"
,"Dec 30, 2019",2.92,4.87,2.88,3.72,"433,831,851"
,"Dec 31, 2019",4.15,4.42,3.82,4.02,"215,200,715"
,"Jan 2, 2020",4.10,4.10,3.61,3.72,"103,899,030"
,"Jan 3, 2020",3.50,3.90,3.48,3.83,"82,981,638"
,"Jan 6, 2020",4.19,4.24,3.66,3.68,"106,848,660"
,"Jan 7, 2020",3.70,3.73,3.21,3.24,"109,299,493"
,"Jan 8, 2020",3.14,3.49,3.13,3.39,"65,258,120"
,"Jan 9, 2020",3.44,3.58,3.33,3.46,"54,722,031"
